nHbondA,nHbondD,nNH2,nAHC,nACC,nHC,nRbond,nR,nNNO2,nONO2,nNO2,nC(NO2)3,nC(NO2)2,nC(NO2),MinPartialCharge,MaxPartialCharge,MOLvolume,nH,nC,nN,nO,PBF,TPSA,ob,total energy,molecular weight,PMI3,nOCH3,nCH3,Eccentricity,PMI2,PMI1,NPR1,NPR2,ESTATE_0,ESTATE_1,ESTATE_2,ESTATE_3,ESTATE_4,ESTATE_5,ESTATE_6,ESTATE_7,ESTATE_8,ESTATE_9,ESTATE_10,ESTATE_11,ESTATE_12,ESTATE_13,ESTATE_14,ESTATE_15,ESTATE_16,ESTATE_17,ESTATE_18,ESTATE_19,ESTATE_20,ESTATE_21,ESTATE_22,ESTATE_23,ESTATE_24,ESTATE_25,ESTATE_26,ESTATE_27,ESTATE_28,ESTATE_29,ESTATE_30,ESTATE_31,ESTATE_32,ESTATE_33,ESTATE_34,ESTATE_35,ESTATE_36,ESTATE_37,ESTATE_38,ESTATE_39,ESTATE_40,ESTATE_41,ESTATE_42,ESTATE_43,ESTATE_44,ESTATE_45,ESTATE_46,ESTATE_47,ESTATE_48,ESTATE_49,ESTATE_50,ESTATE_51,ESTATE_52,ESTATE_53,ESTATE_54,ESTATE_55,ESTATE_56,ESTATE_57,ESTATE_58,ESTATE_59,ESTATE_60,ESTATE_61,ESTATE_62,ESTATE_63,ESTATE_64,ESTATE_65,ESTATE_66,ESTATE_67,ESTATE_68,ESTATE_69,MP_K,SMILES
2,0,0,0,1,0,4,2,0,0,1,0,0,1,-0.299374278,0.21087864,254.52,16,14,1,3,1.096248217,60.21,-1.624458659,59.40374185,326.19,3784.0778,0,9,0.960151651,3332.158557,3784.0778,0.279479529,0.88057348,0,0,5,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,3.072278137,0,0,7.49150274,-0.489606009,0,0,0.181498843,1.825207179,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310915651,0,0,0,22.90991772,0,0,0,0,3.352490827,0,396.65,BrC1=CC=C(C=C1)C(CN(=O)=O)C1CCCCC1=O
2,0,0,0,0,0,1,3,0,0,1,0,0,1,-0.299370232,0.22842945,224.056,19,13,1,3,0.789139631,60.21,-2.192829928,79.7419482,237.299,1458.366201,0,15,0.868579576,1143.015968,1458.366201,0.495549716,0.783764714,0,0,8,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6.931713908,0,0,0,0.076712963,0,0,0.318587963,0,0,-0.737106481,0,0,0,0,0,0,0,0,0,0,0,-0.013796296,0,0,0,23.72696712,0,0,0,0,0,0,375.15,O=C1CC2CCCC2(C2CCCCC12)N(=O)=O
4,0,0,0,4,0,7,6,0,0,2,0,0,2,-0.288582912,0.273028325,466.104,24,32,2,6,0.964131733,120.42,-2.104616596,148.6812786,532.552,10962.02372,0,13,0.95827596,9481.82085,10962.02372,0.285844686,0.864969926,0,0,4,0,0,16,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0.67268739,0,0,26.47068762,0,0,0,-0.507284621,2.555382562,0,-3.330909287,0,0,0,0,0,0,0,0,0,0,0,-0.658225799,0,0,0,52.18929456,0,0,0,0,0,0,464.15,O=C1C2=CC=CC=C2C(CCCCC2(C3=CC=CC=C3C(=O)C3=C2C=CC=C3)N(=O)=O)(C2=CC=CC=C12)N(=O)=O
4,0,0,0,4,0,6,6,0,0,2,0,0,2,-0.288582912,0.273033488,450.288,22,31,2,6,1.269183001,120.42,-2.068907806,137.6442843,518.525,8091.504561,0,12,0.914511571,7434.413261,8091.504561,0.404559743,0.918792445,0,0,3,0,0,16,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,-0.069412793,0,0,26.06659583,0,0,0,-0.566510281,2.182663433,0,-3.523001622,0,0,0,0,0,0,0,0,0,0,0,-0.745577181,0,0,0,52.40231741,0,0,0,0,0,0,464.15,O=C1C2=CC=CC=C2C(CCCC2(C3=CC=CC=C3C(=O)C3=C2C=CC=C3)N(=O)=O)(C2=CC=CC=C12)N(=O)=O
5,0,0,0,2,0,3,3,0,1,0,0,0,0,-0.309147768,0.294330897,233.84,9,15,1,5,0.488114372,86.51,-1.667561259,72.69589432,283.239,3694.030695,0,5,0.98402657,3304.037262,3694.030695,0.178021652,0.894426044,0,0,1,0,0,7,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,-0.26051855,0,0,11.1156462,0,0,0,-0.481391041,1.75399841,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.901067912,0,0,0,34.95986577,4.276445342,0,0,0,0,0,450.15,O=C1C2=CC=C(CON(=O)=O)C=C2C(=O)C2=C1C=CC=C2
7,1,0,1,1,2,2,4,0,0,1,0,0,1,-0.324878299,0.28736301,247.776,9,14,5,4,0.907191169,120.02,-1.465929419,138.5291649,311.257,2795.783288,0,6,0.934579205,2471.878554,2795.783288,0.355755126,0.884145264,0,0,0,0,1,5,2,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1.151018519,7.61698334,-2.344675926,0,0,-1.179716553,0.812914777,0,0,0,0,0,0,2.641366371,0,0,0,0,7.862796989,0,-0.619212963,1.212777778,0,0,36.65986552,0,0,0,0,0,0,467.15,O=C1C(C2N3N=CN=C3NC=C2N(=O)=O)C(=O)C2=CC=CC=C12
5,1,0,1,1,1,4,3,0,0,1,0,0,1,-0.471983949,0.294118344,243.752,9,15,1,6,0.853758783,110.65,-1.524864383,131.1936066,299.238,3103.251276,0,6,0.974841047,3078.067908,3103.251276,0.222901174,0.991884844,0,0,0,0,1,7,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0.949583333,9.614047619,0,0,0,-2.903527967,0.195896636,0,-2.828912037,0,0,0,0,0,0,0,0,0,0,0,-0.935833333,0,0,10.53904195,36.02983466,0,4.787526455,0,0,0,0,428.15,OC1(\C(=C\C2=COC=C2)N(=O)=O)C(=O)C2=C(C=CC=C2)C1=O
4,1,0,0,2,0,3,3,0,0,1,0,0,1,-0.289264466,0.293666716,250.312,11,16,3,3,0.167764033,84.6,-1.883444528,105.5975134,293.282,4365.710538,0,4,0.980966674,3540.431984,4365.710538,0.19417617,0.81096352,0,0,0,0,2,8,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.022512598,13.35136726,0,0,0,0.466289525,1.49349747,0,0,0,0,0,0,2.703784014,0,0,0,4.195462963,0,0,-0.47549409,0,0,0,22.7698964,0,0,0,0,0,0,517.15,O=C1C=C\C(=N/NC2=CC=CC=C2N(=O)=O)C2=CC=CC=C12
5,2,0,0,2,0,6,3,0,0,2,0,0,2,-0.373320208,0.339697191,308.056,14,18,2,7,1.085638945,143.81,-1.55641981,119.6010562,370.317,3665.863925,0,7,0.886825019,3161.821364,3665.863925,0.462105383,0.862503745,0,0,0,0,1,10,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.53724537,14.11614544,-2.382974773,0,0,-2.405549887,-0.274064626,0,-5.548343726,0,0,0,0,0,0,0,0,0,0,0,-2.16087963,0,0,22.17501984,36.31235292,0,0,0,0,0,0,434.15,OC1(C=C(C(N(=O)=O)C(O)(C2=CC=CC=C2)C1=O)N(=O)=O)C1=CC=CC=C1
4,0,0,0,0,2,2,2,0,1,0,0,0,0,-0.336128009,0.294350763,188.776,11,8,2,4,0.835744322,72.68,-1.196372933,76.73261125,234.639,1702.194962,0,7,0.9466855,1535.706166,1702.194962,0.322159223,0.9021917,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,2.4093065,0,0,0,-1.285598073,0,0,-0.126560532,0,0,0,0,0,0,0,0,0,0,0,0,0,1.606481481,-0.791467309,0,0,0,21.80548847,4.571404321,0,0,5.822682666,0,0,348.15,ClC1CC2C(CCCN2C1=O)ON(=O)=O
