SMILES,Density
FC(F)C(F)(F)COC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.703
OC1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.702
CC(=CBr)N(=O)=O,1.702
CN1N=C(C(=N1)N(=O)=O)N(=O)=O,1.7
O=N(=O)C(=C1/NCCN1)\N(=O)=O,1.7
O=C1C2=C(C3=C1C=C(C=C3N(=O)=O)N(=O)=O)C(=CC(=C2)N(=O)=O)C#N,1.7
C[C@@]1(C=C[C@](C)([C@@H]([C@H]1ON(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.7
O=C(NN(=O)=O)OCCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.729
CN(C1=CC(=CC(=C1)N(=O)=O)N(=O)=O)N(=O)=O,1.699
O=N(=O)C1=CC(=C(N2N=CC=N2)C(=C1)N(=O)=O)N(=O)=O,1.698
CC1=C(C=CC(=C1)C(=O)OC1=CC=C(Br)C=C1)N(=O)=O,1.732
NC1=NON=C1CC1=NC(NN(=O)=O)=NN1,1.695
NC1=NC=C(C=N1)N(=O)=O,1.695
ClC1=CC=C(Cl)C(=C1N(=O)=O)N(=O)=O,1.697
O=N(=O)C1=CC2=C(NN=N2)C(=C1)N(=O)=O,1.724
OC(=O)C(F)(F)C(F)(F)C(F)(F)N(=O)=O,1.692
CC1=NC(Br)=C(N1CC(=O)C1=CC=CC=C1)N(=O)=O,1.693
OCC1=NN=C(CO)N1NCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.691
O=N(=O)N(CN1C=C(C=N1)N(=O)=O)CN1C=C(C=N1)N(=O)=O,1.69
O=N(=O)C1=CC(=C(N2N=NC3=CC=CC=C23)C(=C1)N(=O)=O)N(=O)=O,1.69
FC(F)(F)C1=C(C=CC(=C1)N1C=NC=N1)N(=O)=O,1.69
CC1=C(C(C)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.69
FC(F)(F)C1=CC2=C(C=C1N(=O)=O)N1C=CC=CC1=N2,1.731
ClC1=CC=C(C=C1N(=O)=O)N(=O)=O,1.689
OC(=O)C1=CC(=C(F)C=C1)N(=O)=O,1.734
OC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.683
O=C1C(=O)C2=C(C=CC(=C2)N(=O)=O)C2=C1C=CC=C2N(=O)=O,1.683
FC(C=CN(=O)=O)(N(=O)=O)N(=O)=O,1.683
O=N(=O)N1N=CC2=C1C=CC(=C2)N(=O)=O,1.682
CC1=CC=C(C2=NON(=O)=C12)N(=O)=O,1.682
FC(F)(F)C1=C2N=CC=CC2=C(C=C1)N(=O)=O,1.682
O=N(=O)C1=NOC(NC2=NN3C=NN=C3N=N2)=N1,1.68
CN(CN1N=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.71
O=N(=O)N1CCN(C1)N(=O)=O,1.68
NC(=O)NC1=NON=C1N(=O)=O,1.68
CC1=C(C(=C(C=C1)N(=O)=O)N(=O)=O)N(=O)=O,1.68
FC(F)(F)C1=C(N(N=N1)C1=CC=CC=C1)N(=O)=O,1.677
O\N=C1CCCC(Br)=C/1C(=O)C1=CC=C(C=C1)N(=O)=O,1.7
O=N(=O)C1=N(=O)ON=C1C1=N(=O)ON=C1C1=CC=CC=C1,1.718
FC1=CC=C(\C=C\C(=O)C2=CC(=CC=C2)N(=O)=O)C=C1,1.723
[H][C@@]12OC3=C(C=CC=C3)[C@]1([H])C(N(=O)=O)=N(=O)O2,1.675
OC(=O)C(F)(F)N(=O)=O,1.675
OC(=O)C1=CC=C(C(=C1)N(=O)=O)N(=O)=O,1.674
COC(=O)NN(=O)=O,1.721
O=C(NN(=O)=O)OCCCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.702
OC(=O)C1=CC=C(C=C1N(=O)=O)N(=O)=O,1.672
FCCNC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.707
CN1N=C(N=C1N(=O)=O)N(=O)=O,1.671
CC1=C(C=C(C=C1N(=O)=O)N(=O)=NN(=O)=O)N(=O)=O,1.65
O=N(=O)OCCN(CCON(=O)=O)N(=O)=O,1.67
CN1N=C(C(N)=C1N(=O)=O)N(=O)=O,1.67
FC(COC(=N)C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.671
CC(CN(F)C(F)C(C)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.671
O=N(=O)C1=CC=C(C=C1)N(=O)=O,1.67
O=N(=O)C1=CC(=C(NC2=NC=CC=N2)C(=C1)N(=O)=O)N(=O)=O,1.67
CN1C(=O)C(=O)C2=C1C=C(C(=C2)C(F)(F)F)N(=O)=O,1.67
CC1=NC(CBr)=C(O1)C1=CC=C(C=C1)N(=O)=O,1.67
OC1=CC=C(C2=C1C(=O)C1=C(O)C=CC=C1C2=O)N(=O)=O,1.669
CC1=NC(=C(Br)N1CC(=O)C1=CC=CC=C1)N(=O)=O,1.669
CN1N=NC(NN(=O)=O)=N1,1.691
F[C@]1([C@H]2C[C@H](C=C2)[C@@]1(F)N(=O)=O)N(=O)=O,1.667
C[C@]1(C=C(Cl)[C@@](C)(N(=O)=O)[C@@](C)(C1=O)N(=O)=O)N(=O)=O,1.667
O=N(=O)[C@H]1OC2=C(C=CC=C2)[C@@H]1N(=O)=O,1.666
BrC1=C(C=CC=C1)N(=O)=O,1.657
FCC1=NC=CC=C1N(=O)=O,1.707
OC(=O)C1=NC=C(C=C1)N(=O)=O,1.712
NC1=CC=C(N)C(=C1N(=O)=O)N(=O)=O,1.693
OC(=O)C1=C(Cl)C(=CC=C1)N(=O)=O,1.664
OC1=C(C(Cl)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.637
NC1=C(O)C=CC(=C1)N(=O)=O,1.661
CC(=O)C1=C(O)C(=C(O)C(=C1)N(=O)=O)N(=O)=O,1.661
COC(=O)C(=O)NC1=CC=C(C=C1N(=O)=O)N(=O)=O,1.661
COC1=C(N=CN1)N(=O)=O,1.71
O=N(=O)N1CN2CN(C1)CN(C2)N(=O)=O,1.66
NC1=C(C=C(C=C1N(=O)=O)N1C=NC=N1)N(=O)=O,1.66
C[C@@]1(Cl)C(=O)[C@](C)(C=C(Cl)[C@@]1(C)N(=O)=O)N(=O)=O,1.66
FC(F)(N(=O)=O)C(Cl)(Cl)Cl,1.66
NNC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,1.659
O=C1CN(C(=O)N1)\N=C\C1=CC=C(O1)N(=O)=O,1.656
ClC(Cl)(Cl)N(=O)=O,1.657
O=N(=O)CC1=NC(CN(=O)=O)=NC(CN(=O)=O)=N1,1.656
COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N1C=NN=N1,1.656
O=N(=O)\N=C1\N(N=NC1=N#N)C1=CC=CC=C1,1.671
COC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.698
OC(=O)C1=CC(=CC=C1O)N(=O)=O,1.656
CC1=NN(C2C3=N(=O)ON=C3NC=C2N(=O)=O)C(C)=C1N(=O)=O,1.696
CCN(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.653
OC1=C(Cl)C=C(C=C1Cl)\N=C\C1=CC=C(O1)N(=O)=O,1.676
CN(C)C1=NC=C(C(Cl)=N1)N(=O)=O,1.695
FC(F)(F)C1=CC(=C(OC2=CC=C(C=C2)N(=O)=O)C=C1)N(=O)=O,1.7
Br\C(=C\C1=CC=C(C=C1)N(=O)=O)C(=O)C1=CC=CC=C1,1.643
O=N(=O)C(CNN1C=NN=C1)(N(=O)=O)N(=O)=O,1.65
NN1C=NC(=C1N=N#N)N(=O)=O,1.65
CC1=CC(=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.65
FC(COCC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.651
O=N(=O)C1(COC1)N(=O)=O,1.65
NC1=C(C=C(C=C1N1C=NC=N1)N(=O)=O)N(=O)=O,1.65
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.65
C[C@]1(Cl)C(=O)[C@@](C)(C=C(Cl)[C@@]1(C)N(=O)=O)N(=O)=O,1.65
O=N(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.651
CC1=C(Cl)[C@](C)(C(=O)[C@@](C)([C@H]1N(=O)=O)N(=O)=O)N(=O)=O,1.649
O=N(=O)C(N(=O)=O)N(=O)=O,1.651
O=C1CCC(=O)N1N(=O)=O,1.648
CN(C1=CC(=CC=C1N(=O)=O)N(=O)=O)N(=O)=O,1.648
C[C@@]1(C=C(Cl)[C@](C)(N(=O)=O)[C@@](C)(C1=O)N(=O)=O)N(=O)=O,1.647
O=N(=O)C1=CC=C(C=C1)C1=NN=C(N=N1)C1=CC=C(C=C1)N(=O)=O,1.682
FC(F)(F)C1=CC(=CC(Cl)=C1Cl)N(=O)=O,1.646
OC1=C(C=CC=C1N(=O)=O)N(=O)=O,1.645
BrC1=CC=C(C=C1)C1(CCCCC1=O)N(=O)=O,1.645
CCN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.648
COC1=CC(=C(OC)C2=C1C=CC=C2)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.643
[H][C@]12OC[C@@H](ON(=O)=O)[C@@]1([H])OC[C@@H]2F,1.69
CNC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.642
O=N(=O)C1=NN(COCN2C=NC(=N2)N(=O)=O)C=N1,1.641
COC1=C\C(=C(\N(=O)=O)N(=O)=O)C(=O)C2=C1C=CC=C2,1.641
O=N(=O)C(C1=NNC=C1)(N(=O)=O)N(=O)=O,1.64
O=N(=O)O[C@@H]1COC[C@@H]1ON(=O)=O,1.64
COC1=C(C=C(C=C1N(=O)=O)N1C=NC=N1)N(=O)=O,1.64
COC1=C(C(=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.64
COC(=O)C1=CC(=C(C=C1)N(=O)=O)N(=O)=O,1.64
CN(C)C1=C(C2=NON=C2C(Cl)=C1)N(=O)=O,1.64
C[N+]1=CN([N-]C2=NC=C(C=C2N(=O)=O)N(=O)=O)C=N1,1.64
BrC1=C(C2=CC(=CC=C2N1)N(=O)=O)C1=CC=CC=C1,1.639
OC(=O)C(F)(Cl)N(=O)=O,1.639
NC(=O)OCCCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.668
O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=CC=CC=C1,1.681
NC1=C(C=CC(=C1)N(=O)=O)C(O)=O,1.686
O=N(=O)N1CCN(CC1)N(=O)=O,1.638
CN1N=NN=C1N(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O,1.637
O=N(=O)C12C3CC4CC1CC(C4)C3(N(=O)=O)N(=O)=N2=O,1.637
CC1=CC(=C(C=C1)C1=C(O)C=CC(Br)=C1)N(=O)=O,1.633
FN=N(=O)C(F)(F)C(F)(F)N(=O)=O,1.635
COC1=CC(C)=C(F)C=C1C(N(=O)=O)(N(=O)=O)N(=O)=O,1.634
FC(F)(F)C(F)(N(=O)=O)C(F)(F)N(=O)=O,1.633
FC(F)(Cl)C(F)(Cl)N(=O)=O,1.632
CN(C)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.673
[H][C@@]12[C@@H](C(C)=C(C)[C@@](C)(ON(=O)=C1N(=O)=O)[C@@H]2N(=O)=O)N(=O)=O,1.631
CC1=CC=C(C=C1N(=O)=NN(=O)=O)N(=O)=NN(=O)=O,1.61
CN1N=NC(=C1C1=C(N(C)N=N1)N(=O)=O)N(=O)=O,1.63
CN1N=C(C(=N1)N(=O)=O)C1=C(N=NN1C)N(=O)=O,1.63
CN1N=C(C([N+]#N)=C1[O-])N(=O)=O,1.63
COC(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O,1.63
BrC1=CC2=C(OC3=CC=CC=C3[C@H](CN(=O)=O)N2)C=C1,1.632
O=C(CON(=O)=O)N[C@H]1CCOC1=O,1.665
OC1=C(NC2=NC=C(C=C2N(=O)=O)N(=O)=O)C=CC=C1,1.673
NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,1.63
ClC1=CN(N=C1)C1=CC=C(C=C1N(=O)=O)N(=O)=O,1.63
C[C@@]1(Cl)C(=O)[C@@](C)(C=C(Cl)[C@@]1(C)N(=O)=O)N(=O)=O,1.63
COC1=C[C@H](C(C)=C[C@H]1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.629
OC(=O)CCC1(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,1.629
O=N(=O)C1=CC(=CC(CN2C=CN=N2)=C1)N(=O)=O,1.676
FC(F)(F)[C@@H]1O[C@H]1C1=CC=C(C=C1)N(=O)=O,1.628
O=N(=O)C1=CC(=C(NC2=CC=CC=C2)C2=NON=C12)N(=O)=O,1.625
O=N(=O)C1=CC2=C(C=C1N(=O)=O)N1C=CC=CC1=N2,1.666
O=N(=O)NC1=CC=CN=C1,1.623
O\N=C\C1=CC=C(O1)N(=O)=O,1.623
NC1=NC=C(C=C1)N(=O)=O,1.623
NC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.623
FC(F)(F)C(F)(N=O)C(F)(F)N(=O)=O,1.628
COC1=C(C=C(C=C1N(=O)=O)N1C=NN=N1)N(=O)=O,1.628
O=N(=O)C1CN(C1)N(=O)=O,1.622
COC1=C(C=C(C=N1)N(=O)=O)N(=O)=O,1.622
FC(F)(F)C1=CC(=C(C=C1)N1C=CN=N1)N(=O)=O,1.622
ClC1=C(C(=NC=C1)N1CCCC1=O)N(=O)=O,1.669
O=N(=O)C(C1=NC=CC=C1)(N(=O)=O)N(=O)=O,1.62
CN1N=C(C2=NN(C)N=C2N(=O)=O)C(=N1)N(=O)=O,1.62
CC(=O)C1=C(O)C(=CC(=C1)N(=O)=O)N(=O)=O,1.621
COC1=CC(=C2N=CC=CC2=C1O)N(=O)=O,1.62
CC1=C(C=C(C=C1N(=O)=O)N1C=NC=N1)N(=O)=O,1.62
C[C@@]1(O)[C@@H](C(=C[C@](C)(C1=O)N(=O)=O)N(=O)=O)N(=O)=O,1.62
CCOC1=NC=C(C=C1N(=O)=O)N(=O)=O,1.662
CCOC(=O)C1=CC2=C(C=C(Cl)N2C=N1)N(=O)=O,1.66
O=N(=O)NC1=NC=CC=C1,1.617
FCC(=O)C1=C(C=CC=C1)N(=O)=O,1.659
CN1C=NC(=C1C1=CN(N=N1)C1=CC=C(Cl)C=C1)N(=O)=O,1.616
FCCOC(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.616
[H][C@]12CC3=C(C=CC=C3OC)[C@]([H])(ON=C1N(=O)=O)O2,1.663
OC(=O)\C=C\C1=CC=C(O1)N(=O)=O,1.615
FC(F)(Cl)C(=O)\C=C/NC1=CC=C(C=C1)N(=O)=O,1.615
OC(NC1=NC=CC=N1)C1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,1.614
O=N(=O)C1=CC2=C(NC3=C(O2)C=CC=C3)N=C1,1.656
CN1N=NC(=N1)N(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O,1.612
O=N(=O)C1=NOC=C1C1=C(C=CC=C1)N(=O)=O,1.613
FC1=CC(=CC(F)=C1N(=O)=O)N1CCOCC1,1.652
FC1=CC=C(C=C1)C#CC1=NC=C(C=C1N(=O)=O)N(=O)=O,1.654
FC(F)(F)C1=CC(=CC(=C1)C1=CC=C(C=N1)N(=O)=O)C(F)(F)F,1.611
COC1=CC(=C(NC(=O)\C=C\C(O)=O)C=C1)N(=O)=O,1.646
OC(=O)C1=CC=CC=C1N=CC1=C(C=C2OCOC2=C1)N(=O)=O,1.653
OC(=O)C1=CC(=CC=C1C1=C(C=C(C=C1)N(=O)=O)N(=O)=O)N(=O)=O,1.61
O=N(=O)C1=C(C=C(C=C1)N1C=NC=N1)N(=O)=O,1.61
O=C(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C1=CC=C(C=C1)N(=O)=O,1.61
COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.61
CC1=C(Cl)[C@@](C)(C(=O)[C@@](C)([C@@H]1N(=O)=O)N(=O)=O)N(=O)=O,1.609
FC(F)(N(=O)=O)C(F)(F)N(=O)=O,1.609
CC(=O)NC1=C(C=C(C=C1)C1=NN=NN1)N(=O)=O,1.609
OC(=O)C1=C(Cl)C=CC(=C1)N(=O)=O,1.61
O=N(=O)C1=CC=CC(=C1)C1=NN=C(N=N1)C1=CC=CC(=C1)N(=O)=O,1.644
COC1=CC=C(C2=C1C=CC=C2)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.607
C\C(N(=O)=O)=N/O,1.607
CC(=O)NC1=C(Cl)C=C(C=C1Cl)N(=O)=O,1.606
O=C1CCC(=O)N1C1=CC=C(C=C1)N(=O)=O,1.648
CCOC(=O)C1=CC2=CC(=CC(=C2C=C1O)N(=O)=O)N(=O)=O,1.653
CONC1=C(C=C(C=C1N(=O)=O)C(=O)OC)N(=O)=O,1.605
NC1=CC(C(O)=O)=C(C=C1)N(=O)=O,1.605
FON(=O)=O,1.628
CC(=O)NC1=C(C=C(OCC(F)(F)F)C=C1)N(=O)=O,1.604
O=C1C2=CC(=CC(=C2C2=C1C=C(C=C2N(=O)=O)C#N)N(=O)=O)C#N,1.651
CC1(C)OC2=CC(=C(C=C2O1)N(=O)=O)N(=O)=O,1.651
FC1=C(Cl)C=C(Cl)C(=C1)N(=O)=O,1.605
CN(C)C1=C(Cl)C(=O)N(C)N=C1N(=O)=O,1.603
O=N(=O)C1=CC=CC2=C(C=CC=C12)N(=O)=O,1.602
CC1=C(Cl)[C@@](C)(C(=O)[C@@](C)([C@H]1N(=O)=O)N(=O)=O)N(=O)=O,1.602
NC1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.602
CC(=O)C[C@H](CN(=O)=O)C1=CC=C(Br)C=C1,1.62
OCCNC1=CC(NCCO)=C(C=C1N(=O)=O)N(=O)=O,1.599
ClC1=C(C#N)C(=CC=C1)N(=O)=O,1.599
CO[C@H]1O[C@@H]2COC(C)O[C@H]2[C@H](ON(=O)=O)[C@H]1ON(=O)=O,1.646
[H][C@]12ON3O[C@@]1(C)C(C)=C(C)[C@]([H])([C@@H]2N(=O)=O)C3(N(=O)=O)N(=O)=O,1.598
OC(=O)C1=CC=C(C=C1)N(=O)=O,1.597
NC1=C(C(N)=C(C2=CN(N=C12)C1=CC=CC=C1)N(=O)=O)N(=O)=O,1.598
FC(N(=O)=O)(N(=O)=O)N(=O)=O,1.598
FC(N(=O)=O)N(=O)=O,1.597
CCN1C2=CC(=CC=C2N=C1C(F)(F)F)N(=O)=O,1.596
O=N(=O)C1=CC(=C(OC2=CC=CC=C2)C(=C1)N(=O)=O)N(=O)=O,1.638
CC1=C(Cl)[C@](C)(C(=O)[C@](C)(O)[C@@H]1N(=O)=O)N(=O)=O,1.595
CC(COC(N)=O)(N(=O)=O)N(=O)=O,1.642
NC1=CC(Cl)=CC=C1N(=O)=O,1.593
C[C@]12CC[C@@]1(C)N(C(=O)N2N(=O)=O)N(=O)=O,1.593
C[C@@]1(O)[C@@H]([C@H](CC1=O)C1=CC(Br)=CC=C1)N(=O)=O,1.593
FN(F)C(F)(N(=O)=O)N(=O)=O,1.594
CN(C1=CC=CC(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.592
O=N(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,1.591
CC(=O)C1=C(O)C(=CC(Cl)=C1)N(=O)=O,1.591
ONC(=O)C1=CC=C(C=C1)N(=O)=O,1.591
CC1=CC(=C(C)C(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.591
O=N(=O)C1=C2C=CC=CC2=C(C2=C1C=CC=C2)N(=O)=O,1.59
O=N(=O)C1=C(C=CC=C1)C1=NC(=NO1)C1=C(C=CC=C1)N(=O)=O,1.59
NC(=O)CN(=O)=O,1.59
COC1=CC(N2C=NC=N2)=C(C=C1N(=O)=O)N(=O)=O,1.59
COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N1C=NC=N1,1.59
COC(=O)C12C3C4C5C(C1C35N(=O)=O)C24N(=O)=O,1.59
ClC1=CC=C(\C=C\N(=O)=O)C(Cl)=C1,1.59
CC1=CC=C2[C@H]3ON4O[C@@]3(C)[C@H](O)[C@H](C2=C1)C4(N(=O)=O)N(=O)=O,1.59
C[C@]1(C=C[C@](C)([C@H]([C@@H]1ON(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.59
COC1=C(C(OC)=C(C(OC)=C1N(=O)=O)N(=O)=O)N(=O)=O,1.59
C[C@]1(CN(=O)=O)CCC2=C(C1)NC1=C2C=C(Br)C=C1,1.59
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,1.587
FC(F)(\N=N\C1=CC=C(C=C1)N(=O)=O)C1=NC2=CC=CC=C2O1,1.588
ClC1=CC=CC(Cl)=C1\C=C\N(=O)=O,1.588
O=N(=O)C1=CC=CC(=C1)N1C=NN=N1,1.635
O=N(=O)C1=CC=CC2=CC=CC(=C12)N(=O)=O,1.587
O=N(=O)C1=CC(=CC=C1)N=N#N,1.634
CN(C1=C(C=CC=C1)N(=O)=O)N(=O)=O,1.633
CCN1C2=CC=C(C=C2N=C1C(F)(F)F)N(=O)=O,1.585
NC1=NC=CC=C1N(=O)=O,1.584
ClC1=CC=C(C(=C1)C#N)N(=O)=O,1.584
OCC(F)(N(=O)=O)N(=O)=O,1.585
COC1=CC(N2C=CN=N2)=C(C=C1N(=O)=O)N(=O)=O,1.583
CN(C)C1=C(Cl)C(=NN(C)C1=O)N(=O)=O,1.584
COC(=O)[C@@](C)([C@@H](CC(=O)N1CCOC1=O)C(F)(F)F)N(=O)=O,1.583
COC1=C[C@@H](C=C[C@]1(C)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.582
[H][C@@](O)(CO)[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)CN(=O)=O,1.582
OC(NC1=NC=CC=N1)C1=C(C=CC(Cl)=C1)N(=O)=O,1.581
CC(=O)N1CC(CN1C(C)=O)(N(=O)=O)N(=O)=O,1.629
O=N(=O)C1=CC(=C(N2CCCC2)C(=C1)N(=O)=O)N(=O)=O,1.58
[H][C@]12[C@@H](O)[C@](C)(ON(=O)=C1N(=O)=O)C(C)=C(C)[C@H]2N(=O)=O,1.58
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N1C=NC=N1,1.514
CN1C(COC(N)=O)=NC=C1N(=O)=O,1.578
CN1N=C(N)C(=N1)N(=O)=O,1.577
C[C@]12C[C@@]1(C)N(C(=O)N2N(=O)=O)N(=O)=O,1.575
O=N(=O)C1=CN(N=C1)C1=NC(=CC=C1)N1C=CC=N1,1.622
OC[C@H]1O[C@H](OC2=CC=C(C=C2)N(=O)=O)[C@H](O)[C@@H](O)[C@@H]1O,1.574
O=N(=O)C1=CC(=CC(=C1)C#N)N(=O)=O,1.574
CNC1=CC=C(C=C1N(=O)=O)N(=O)=O,1.575
O=N(=O)C1=COC2=CC=CC=C12,1.572
O=N(=O)OCC(CON(=O)=O)(N(=O)=O)N(=O)=O,1.569
O=N(=O)C1=CC=C(C=C1)N=N#N,1.619
NC1=CC(=CC(F)=C1N(=O)=O)N1CCOCC1,1.619
CC(=O)C1=C(O)C=C(O)C(=C1)N(=O)=O,1.571
O=N(=O)C1=CC(=C(NC2=CC=CC=C2)C(=C1)N(=O)=O)N(=O)=O,1.573
COC1=CC=C(NC(=O)C2=CC=CC=C2C(O)=O)C(=C1)N(=O)=O,1.606
O=C1CCC(=O)N1C1=CC(=CC=C1)N(=O)=O,1.613
COC1=C(C(N2C=NC=N2)=C(C=C1)N(=O)=O)N(=O)=O,1.57
COC1=C(C(=CC=C1)N(=O)=O)N(=O)=O,1.57
CC1=CC=CC2=C1[C@H]1[C@@H](O)[C@@H]3ON(O[C@]23C)C1(N(=O)=O)N(=O)=O,1.57
CC1=C(N(=O)=O)[C@@](C)(N(=O)=O)[C@@](C)(C(=O)[C@@]1(C)N(=O)=O)N(=O)=O,1.57
CC1=C(C=CC=C1N(=O)=O)N(=O)=O,1.57
OC(=O)C1=CC=C(CON(=O)=O)C=C1,1.609
[H][C@](O)(CO)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)CN(=O)=O,1.569
CON=C(C)C1=CC=C(C=C1NC1CCCCC1)N(=O)=O,1.569
FC(F)(F)C1=CC=CC(=C1)N1N=NC=C1C1=CC=C(C=C1)N(=O)=O,1.616
CC1=CC(N2C=NN=N2)=C(C=C1N(=O)=O)N(=O)=O,1.573
OC(=O)C1=CC(=CC=C1C1=CC=C(C=C1)N(=O)=O)N(=O)=O,1.567
CN1C=CC=C1C(=O)C(Cl)(Cl)C(=O)C1=CC=C(C=C1)N(=O)=O,1.602
O=N(=O)C1=NNC=C1,1.566
O[C@@H]1CO[C@@H](OC2=CC=C(C=C2)N(=O)=O)[C@H](O)[C@H]1O,1.565
CC(=O)N(C(C)=O)C1=C(Cl)C=C(C=C1Cl)N(=O)=O,1.565
ClC1=C(C=CC(=N1)C1=CC=CC=C1)N(=O)=O,1.589
CC(C)N(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.567
OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)N1C=CN=C1N(=O)=O,1.563
O=N(=O)C1=CC(=C(C=C1)N1CCCCC1)N(=O)=O,1.563
CN1C=C(N=C1C1=NC=C(N1C)N(=O)=O)N(=O)=O,1.562
FC(F)(N(=O)=O)N(=O)=O,1.563
COC(=O)C1=CC2=C(OCO2)C=C1C1=C(C=CC(CO)=C1)N(=O)=O,1.597
O=N(=O)C1=CC=CC2=C1NN=C2,1.496
NN1C=NC(=C1)N(=O)=O,1.56
COC(=O)[C@]1(Cl)O[C@H]1C1=CC=C(C=C1)N(=O)=O,1.561
CN1C=CC=C1C(=O)C(Cl)(Cl)C(O)C1=CC=C(C=C1)N(=O)=O,1.596
CN(C1=CC(=CC=C1)N(=O)=O)N(=O)=O,1.608
CC1=C(C#N)C(=O)[C@](C)(N(=O)=O)[C@](C)(N(=O)=O)[C@@]1(C)N(=O)=O,1.56
C[C@@]1(O)C=C([C@@H](N(=O)=O)[C@@](C)(O)C1=O)N(=O)=O,1.56
ClC1=NC=CC=C1C(=O)NNC1=CC=CC=C1N(=O)=O,1.602
O=N(=O)C1=NOC=C1C1=CC=CC(=C1)N(=O)=O,1.559
COC1=CC(=CC(=C1)N(=O)=O)N(=O)=O,1.561
CC1=C[C@@](C)(N(=O)=O)[C@@](C)(N(=O)=O)[C@](C)(C1=O)N(=O)=O,1.558
O=C(NCCNN(=O)=O)NCCNN(=O)=O,1.556
CC1=C(C)[C@](C)(C(C)=C[C@H]1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.556
O=N(=O)C1=CC=CC=C1N=N#N,1.607
ClC1=C(C=CC2=CC=CC=C12)N(=O)=O,1.555
CCOC(=O)C(F)(F)CC1CC2=C(O1)C=CC(=C2)N(=O)=O,1.554
ClC1=CC=C(C=C1)C1=CON=C1N(=O)=O,1.554
NC1=CC=C(C(N)=C1)N(=O)=O,1.553
FCCOC(=O)C1=CC=C(C=C1)N(=O)=O,1.594
O=N(=O)C1=CC(=C(NC2=NN=NN2)C(=C1)N(=O)=O)N(=O)=O,1.552
O=C(N\N=C\C1=CC=C(O1)N(=O)=O)C1=CC=NC=C1,1.552
O[C@@H]1CO[C@H](NC2=CC=C(C=C2)N(=O)=O)[C@H](O)[C@H]1O,1.552
