SMILES,Density
ClC1=C(Cl)C(=C(Cl)C(Cl)=C1N(=O)=O)N(=O)=O,1.92
O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1C#N,1.967
IC1=C(C=CC=C1)N(=O)=O,1.907
CN(C1=C(F)C(F)=C(C(F)=C1F)C(F)(F)F)N(=O)=O,1.917
NC1=C(C=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.963
O=N(=O)C1=CC(=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,1.947
FC(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.91
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,1.905
O=N(=O)NC1=C(C(=NN1)C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.9
NC1=C(NN=C1N(=O)=O)N(=O)=O,1.9
OC(=O)C(=N#N)N(=O)=O,1.899
O=N(=O)NC1=NON=C1NN(=O)=O,1.899
BrC1=NC(=CC=C1)N1C=C(C=N1)N(=O)=O,1.944
Br\C(N(=O)=O)=C/C1=CC=CC=C1,1.941
O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O,1.89
O=N(=O)C1=C(N=N#N)N2N=NN3C(=NC(=C3N=N#N)N(=O)=O)C2=N1,1.888
O=N(=O)C(N1C2=NON=C2NC2=NON=C12)N(=O)=O,1.884
O=N(=O)N=C1NN=C(N1)C1=NNN=C1N(=O)=O,1.883
O=N(=O)C1=CN(N=C1)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.929
NN1N=C(C(N)=C1N(=O)=O)N(=O)=O,1.88
CN1N=C(N=C1N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O,1.88
NC1=C(C=C(C(N)=N1=O)N(=O)=O)N(=O)=O,1.878
NN(=O)=O,1.924
NC1=C(N=NC2=NC(=NN12)N(=O)=O)N(=O)=NN(=O)=O,1.875
OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.91
NN1N=C(C(N2N=C(C(N)=C2N(=O)=O)N(=O)=O)=C1N(=O)=O)N(=O)=O,1.87
O=N(=O)C1=NC(=CN1)N(=O)=O,1.87
O=N(=O)C1=CNN=C1N(=O)=O,1.87
COC1=C(Br)C(C=O)=C(OC)C(=C1)N(=O)=O,1.868
O=C1OCC(CON(=O)=O)(CON(=O)=O)N1N(=O)=O,1.899
CC1(C)N(=O)=C2C=C(C=C(Br)C2=N1=O)N(=O)=O,1.917
ClC1=NN=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N=N1,1.901
ClC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.91
O=N(=O)C1=NN(CC2=NN=NN2)C(=C1N(=O)=O)N(=O)=O,1.86
ClC1=NN(COCN2N=C(Cl)N=C2N(=O)=O)C(=N1)N(=O)=O,1.86
NC1=NON=C1N(=O)=O,1.86
FC1=CC(F)=C(C=C1N(=O)=O)N(=O)=O,1.86
ClC1=CC(Cl)=C(C2=NON=C12)N(=O)=O,1.86
BrC1=CC=C(C=C1)\C=C\N(=O)=O,1.86
O=C(NN(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.897
O=N(=O)NC1=NC(=NO1)C1=NOC(NN(=O)=O)=N1,1.856
NC1=C(N=NC2=NC(=NN12)N(=O)=O)N(=O)=O,1.892
O=N(=O)C1=CNC(=C1N(=O)=O)N(=O)=O,1.856
NC1=NC(=NO1)C1=N(=O)ON=C1N(=O)=O,1.85
O=N(=O)C1=NON=C1C1=NON=C1N(=O)=O,1.85
O=N(=O)C1=NN=C(C1=N#N)N(=O)=O,1.884
O=N(=O)C1=NN(COCN2N=NC(=N2)N(=O)=O)N=N1,1.846
O=N(=O)CN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O,1.843
CC1=NC(=CN1CCBr)N(=O)=O,1.889
O=N(=O)OCN1C2=NON=C2N(CON(=O)=O)C2=NON=C12,1.84
O=N(=O)N1C=NC(=N1)C1=NON(=O)=C1C1=NN(C=N1)N(=O)=O,1.84
O=N(=O)C1CC(C1)(N(=O)=O)N(=O)=O,1.84
O=N(=O)C1=CC2=N(=O)ON=C2C2=N(=O)ON=C12,1.84
NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.869
FCON(=O)=O,1.886
NC1=C(C(N)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.837
NC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O,1.884
CC1=NC=C(N1CCBr)N(=O)=O,1.836
O=N(=O)C1=NN(N=C1)C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.833
O=N(=O)C1=CN(N=N1)C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,1.833
O=N(=O)OCC1=NC(=NO1)C1=NOC(CON(=O)=O)=N1,1.767
COC(=O)C1=CNC(CCN(=O)=O)=C1Br,1.879
CC(=O)NC1=CC(=CC=C1Br)N(=O)=O,1.831
O=N(=O)C1=CNN=C1C1=NNC=C1N(=O)=O,1.83
O=N(=O)C1=C(N(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)C=N1)N(=O)=O,1.83
NN1N=C(N=C1N(=O)=O)N(=O)=O,1.83
NN1N=C(C(=N1)N(=O)=O)N(=O)=O,1.83
NC1=C(N(CC2=NN=NN2)N=C1N(=O)=O)N(=O)=O,1.83
NC1=C(C(N)=C(C(N)=C1N(=O)=O)N(=O)=O)N(=O)=O,1.83
O=N(=O)C(CNCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,1.831
FC(F)(F)CC(CC1=CC=CC=C1)N=NC1=CC=C(C=C1)N(=O)=O,1.878
ClC(=O)CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,1.83
