,train_mae,train_rmse,train_R2,valid_mae,valid_rmse,valid_R2
0,36.35810067311394,47.55389370635655,0.43928453574120285,36.67943684984884,48.01718034336728,0.4440141433789311
1,49.8084214439429,61.44267521445914,0.06392509741188923,49.73351339408551,61.44435279549653,0.08959552070878596
2,31.37913346316067,41.546695353091195,0.5720004237527778,31.777966073747567,42.1174945554247,0.5722446068600446
3,30.906186972760736,41.00226643986184,0.5831439629950095,31.77531282443565,42.03223478516265,0.5739746908777803
4,29.17663504315311,38.85923193544691,0.6255802118618683,29.928721173190137,39.81589473144498,0.6177184006125707
5,30.882922453781067,40.66989988113178,0.5898746871338234,31.693203205394433,41.71471208770976,0.5803869964177
6,31.575135627270207,41.19122833601103,0.579292887665866,32.2913970885137,42.1302799929731,0.5719848646461729
7,30.11511033259908,39.69409494467413,0.6093191019861552,31.15287535664313,41.01080943864092,0.5944287905139405
8,27.10974098963808,36.41110357680247,0.6712709744626963,28.462266657950437,38.210914364682054,0.6479168060106111
9,28.593526420420492,37.67069877319413,0.6481336626431047,29.768628934307284,39.109391380863755,0.6311646402300556
10,26.305552129447992,35.40683093145624,0.6891545728535212,27.80452949915336,37.282500322749335,0.664818147349094
11,25.90233456083281,34.8075836719108,0.6995874167101732,27.52308962011182,36.93632210109157,0.6710137600408255
12,26.161393137683298,35.317192190444395,0.690726502248256,27.752655189278073,37.320802780045994,0.6641290908903323
13,25.49558025983434,34.49459997385757,0.7049656423708661,27.040907123578098,36.51030153048055,0.6785589959197633
14,25.47359109658891,34.6367940691404,0.7025282399533674,27.322173837730084,36.878891727759616,0.6720360117233505
15,25.208404070463175,34.19110563424258,0.7101344134706221,27.082147234814176,36.52262604526982,0.67834194626559
16,24.576365634288674,33.427511743473936,0.7229370408295199,26.66157397851105,35.957676186661594,0.688216109573286
17,26.090926055574315,35.229913138111414,0.6922532232092165,27.852217793852965,37.4659724916822,0.6615110806348152
18,24.849838603926607,33.83024055153989,0.7162208130116167,26.96016564819634,36.46629237790023,0.6793334529774335
19,24.067942977819083,32.784630220973085,0.7334915721285469,26.33983509237681,35.53006315720478,0.6955875607661589
20,23.75811924991896,32.6246835918066,0.736085661826783,26.132052904619844,35.431871468990785,0.6972677982455795
21,24.4619856132611,33.39588755511251,0.7234610250853022,27.117940166485813,36.493002980209965,0.67886352116149
22,23.770221446392878,32.622699895012204,0.7361177547860553,26.436442727763023,35.68843692245658,0.692867701077657
23,23.51063772310926,32.38950823487375,0.7398768066651229,26.14559409051454,35.50524488543326,0.6960126851962348
24,27.331784164345628,35.504417347392646,0.687438740531561,29.476217683052784,38.49928495007009,0.642582540473184
25,23.146194695807626,31.826905267318086,0.7488349584750036,25.945311825904472,35.18486553983622,0.7014739549312532
26,23.29529579123385,32.10171902163716,0.7444787951029125,26.276221731974946,35.673726958202444,0.6931208347246463
27,23.179652532944697,31.87618079193867,0.7480566319414539,26.173844520742808,35.43079051018987,0.6972862689293511
28,23.895569445164682,32.73887434756964,0.7342349580297625,26.869275593214002,36.314268252532116,0.6820015296344983
29,22.623761192835424,31.227158403957866,0.7582116896551945,25.9403688977518,35.202097805419776,0.7011814686241646
30,22.547868645844535,31.260095244068644,0.7577013678363762,25.937384925370107,35.24078745512022,0.700524261076846
31,22.239939652122096,30.959930962783748,0.7623322060856007,25.75242005264332,35.00973047673584,0.7044384253175935
32,22.15462777858581,30.811669641411953,0.7646030490199354,25.759715039877626,35.042587904540206,0.7038833833452414
33,21.77076011635585,30.49983857125092,0.7693436317281892,25.550473415113817,34.835972278321734,0.7073649720129036
34,21.62906219445927,30.291944804990862,0.7724773264782121,25.529252477888175,34.74067660211363,0.7089638199317831
35,22.371685922979964,30.769773462155207,0.7652427760470991,25.97934173994033,35.030455242830875,0.7040883932298424
36,21.768822322164283,30.487720725806685,0.7695268790900971,25.663575338618376,34.97874248727569,0.7049614120133567
37,21.476958216361968,30.131362221855404,0.7748832030242832,25.580890997224987,34.78732926467194,0.7081816399394997
38,21.260958864867103,30.025662577765218,0.7764598344898355,25.50485429546344,34.84919568961716,0.7071427667789647
39,21.554519545194193,30.112626763402403,0.7751630678836015,25.75415980466414,34.91264451744993,0.706075404094906
40,20.93271974308619,29.51682771863353,0.7839721566083544,25.250525583273426,34.475077201940515,0.7133968698885311
41,20.640053338758467,29.30536091950369,0.7870564366635942,25.273619804009552,34.498158524289224,0.713012973588549
42,21.02050940876765,29.641781379292638,0.7821392634423241,25.625953711593578,34.840837076352024,0.7072832338587531
43,20.765756432442657,29.40410854960189,0.7856189449856281,25.360292305775495,34.550314112671145,0.7121445629998209
44,20.76767978995309,29.48837324063139,0.7843884615783678,25.42447628804061,34.69095057121522,0.7097963734126773
45,20.350036290309355,28.881261881489184,0.7931751600579534,25.20695942465568,34.35554544014354,0.7153808416692299
46,20.275421670784898,28.894525744529254,0.7929851454562339,25.22594169529719,34.362997163547696,0.7152573600830832
47,20.147497540812147,28.848820048966726,0.7936395446272766,25.159338848598615,34.3679014791697,0.7151760742654814
48,20.508293854772308,29.001398234274,0.7914509374520818,25.401383577029947,34.51609628310711,0.7127144512675898
49,21.43601248237742,29.64842534823756,0.7820415888527414,26.168754391250857,35.23042531130643,0.700700349661376
50,20.027154434364835,28.52603936070341,0.7982315201898174,25.176290294634793,34.254428304337345,0.7170537886998383
51,19.74001928108848,28.45735658559328,0.7992019551619224,25.216049212974525,34.485438017173735,0.7132245766581076
52,19.819726785080626,28.419360479462046,0.7997378057832503,25.352228080799215,34.502765133397055,0.7129363269550462
53,19.715081069749836,28.393422224352328,0.8001031963922355,25.12881362554693,34.33942299625493,0.7156479111612019
54,19.467184526551122,28.219554155665328,0.8025438502364729,25.10742199304438,34.39981145566888,0.7146469222412375
55,19.866501051138076,28.38510877854136,0.8002202367864603,25.34027904640968,34.47621152111786,0.7133780081506853
56,19.619638371264976,28.25638093265429,0.8020281496314505,25.367613916676675,34.65920512018147,0.7103272559748406
57,19.25026068528016,27.981494011123594,0.8058612780019474,25.129226787082537,34.365947817228395,0.7152084561790903
58,19.362521696233863,27.943456398374874,0.8063887375928663,25.239068748896596,34.45576388765755,0.7137178951321013
59,19.57885270179134,28.165421595090045,0.8033006699059412,25.43935150121633,34.753999426341686,0.7087405566411566
60,19.14599180131776,27.877815961247464,0.8072972726112699,25.115109108170003,34.37929468493394,0.714987201936016
61,18.790255976113936,27.52515251602952,0.8121419385912457,25.049235862707082,34.24334976454607,0.7172367789031631
62,18.811224621747577,27.502560741080348,0.812450187890091,24.967193942116605,34.19550475357696,0.7180263841395709
63,18.869141556398784,27.551111340549454,0.8117874357183841,25.160018166035705,34.33619832614616,0.7157013135477509
64,19.030545111849293,27.560391756299225,0.8116606181742001,25.28008248829298,34.42759131770549,0.7141858570707074
65,18.580581374826227,27.342247319654835,0.8146302847133872,25.048781401171357,34.2865176430187,0.7165234154045772
66,18.546652839842732,27.339052156582422,0.8146736061081966,25.085765231315786,34.32614131707469,0.7158678295154655
67,18.485656885814198,27.174074485071092,0.8169035636580231,25.051514839893056,34.284163930668925,0.7165623341120828
68,18.738214839403213,27.42552608720234,0.8134993705303069,25.23846578442701,34.4688757776577,0.7134999678255403
69,18.452831648596128,27.26097974462949,0.8157305717062819,25.0588327494817,34.389062019546046,0.7148252321891513
70,18.145392423876977,26.905021521845395,0.8205113232675338,25.0008705462229,34.21518295397432,0.7177017608485533
71,18.164063929128353,27.006892424365393,0.8191495482019054,24.98424990402371,34.28298556098663,0.7165818175405483
72,18.282262815809645,27.0702083367414,0.8183005702060143,25.069525398726572,34.3656112719679,0.715214035968655
73,18.139834004051234,26.838644627872046,0.8213958574161976,25.061500331866238,34.24657012708935,0.7171835929282919
74,18.104243304467275,26.93816377714738,0.8200688537877038,24.968079097884484,34.2661657745731,0.7168598490460529
75,17.999989728212757,26.778568463593665,0.8221945443115419,24.998008240317677,34.253933715053186,0.7170619579566015
76,17.89508681500888,26.673578840226973,0.823586040451471,24.99398114704542,34.227872310455346,0.7174923299756164
77,18.077049264494843,26.829299901981326,0.8215202092610845,25.141892507720847,34.37596012851966,0.7150424878910246
78,17.813663735219123,26.60178394897516,0.824534438105395,24.90785904427693,34.13480883737626,0.7190264834331266
79,18.138505462689967,26.733555442927734,0.8227918008459505,25.0818408537377,34.33854486201567,0.7156624539183063
80,17.539685649657322,26.390066230738913,0.8273163067078384,24.905910858502217,34.16110519876984,0.71859341063476
81,18.144839228713103,26.70723063675354,0.8231406264912883,25.236714860127105,34.4463728502446,0.7138739283536424
82,17.679554178941512,26.398520855717702,0.8272056434067889,25.062221222669372,34.26976923685999,0.7168002945674914
83,17.522591783305074,26.37991720775234,0.827449101707461,24.988896186654653,34.24548031187404,0.7172015926961859
84,17.505811610820487,26.36563427976061,0.8276359002655587,25.01181952262158,34.30901465084971,0.7161512885682839
85,17.503983259285977,26.344930272502296,0.8279064968172465,25.037581586682446,34.27573406229797,0.716701701103585
86,17.53341277378108,26.311039677820126,0.8283489804220662,25.001425889105285,34.269165835216015,0.7168102673340768
87,17.439627157580816,26.29232640714662,0.8285930614029073,25.07430223533307,34.39205688280307,0.714775558933042
88,17.306207549801904,26.14013071059468,0.8305717292717232,25.022107282756593,34.28608302101464,0.7165306023726028
89,17.481069656153878,26.27247425872915,0.828851806800437,25.07687989275308,34.378693804991215,0.7149971654946585
90,17.229853761244062,26.152167630092297,0.830415657983443,25.050471892962626,34.36405146234936,0.7152398855656548
91,17.138754754350128,25.959762683614954,0.8329017877689876,25.009111348503186,34.242492464362435,0.7172509372406101
92,17.209084150949014,26.117146460213192,0.8308695448685635,25.089226567395734,34.41025163961608,0.7144736890794294
93,17.020875305421153,25.900408816736693,0.8336650136028317,25.012500859238813,34.26161629762039,0.7169350285577869
94,16.97251926565964,25.92108653477482,0.8333993189312835,25.02667706952421,34.331009351574735,0.7157872347538323
95,16.983108267566458,25.864422799470777,0.8341269040514613,25.04101111446219,34.309904384277594,0.7161365662329928
96,17.005494336949422,25.902040753517234,0.8336440520194808,25.09424328881677,34.39672131108101,0.714698186360783
97,16.865645790032154,25.785902042048203,0.8351325104198484,25.03558265114452,34.30848245870301,0.7161600935953858
98,17.090772596074572,25.992202733969386,0.8324839053446516,25.16688978710858,34.49817405929585,0.7130127162218123
99,17.13623811658615,25.956759587288186,0.8329404460796503,25.266320641731983,34.571948566950425,0.7117839549995408
100,16.760898355782277,25.665297306299575,0.8366711262482949,25.05896839489766,34.323290195981095,0.715915026529281
101,16.736754553644754,25.67594629368918,0.836535562110285,25.031658144649544,34.34742686801206,0.7155153409902215
102,16.718650492910367,25.684263993499854,0.8364296363758256,25.0095648066617,34.33851612584693,0.7156629310842635
103,16.871552740524795,25.70860944978748,0.8361194014121912,25.086084735510017,34.33022242415087,0.7158002626730495
104,16.825564644341675,25.756362402563003,0.835510029662885,25.090957309213447,34.42620208568859,0.714208923028218
105,16.841527068689576,25.74870455715979,0.8356078269219265,25.126583124216683,34.410300421746875,0.7144728801529867
106,16.772745620372685,25.64002185837774,0.8369926637619546,25.092417229270314,34.37578818716943,0.7150453375674177
107,16.557582805917544,25.553947027619902,0.8380852742001962,25.06546825384084,34.36292801607036,0.7152585040041721
108,16.582920286832685,25.573080599668273,0.8378427154091999,25.049049492379353,34.378854261036466,0.7149945045241808
109,16.63113001914226,25.506487995472337,0.8386861348271203,25.12616465068407,34.39123368716952,0.7147892133001748
110,16.431870379221543,25.440477732584185,0.8395200084490517,25.052807074804647,34.37004565181477,0.7151405344314472
111,16.390214977601207,25.456716371717402,0.8393150742311781,25.06927391449869,34.391114384600215,0.7147911924255022
112,16.428886215569474,25.446714663791916,0.8394413125047155,25.06931353391964,34.3621072655554,0.7152721067210281
113,16.366568798072755,25.427259428527183,0.8396867288221807,25.07938784496792,34.38460714823415,0.7148991118373209
114,16.385820308330253,25.366391845487904,0.8404533233313611,25.067719711154602,34.379520462295794,0.7149834589036854
115,16.31265692050618,25.303182466249094,0.8412474671617041,25.076911382644106,34.386441693028395,0.714868688978379
116,16.265628700747477,25.338068561779714,0.8408094139403852,25.095285188879952,34.42822982682019,0.7141752551209231
117,16.397113811113798,25.362673006435244,0.8405001006631732,25.093014331904605,34.37708773525819,0.7150237926083371
118,16.29548047278153,25.301846042792377,0.8412642363513847,25.054878992832446,34.37444525517602,0.7150676024822177
119,16.261632390619447,25.30767931944055,0.8411910355151877,25.094366800513253,34.39291095364873,0.7147613915453023
120,16.189252024588406,25.282379602863298,0.8415083949457107,25.096850945040924,34.41731079456595,0.7143565286166277
121,16.14834836525296,25.224173972887893,0.8422373202842375,25.09188689315746,34.41022915258911,0.714474061467351
122,16.21399231077387,25.220097264455063,0.8422883110464302,25.093290925414244,34.38396363467515,0.7149097828715176
123,16.12383324753801,25.212380125185216,0.842384813421098,25.091403476578407,34.397024827722845,0.7146931512304439
124,16.16783251555407,25.23214932912541,0.8421375419960673,25.141727696024244,34.47327161242998,0.7134268886546082
125,16.128233186258722,25.135260106916217,0.8433475700642207,25.09246377913882,34.38303524504854,0.7149251771644141
126,16.118414154138147,25.16311289580931,0.8430001994199051,25.127710267852883,34.416713129616504,0.7143664489269391
127,16.0408930592874,25.1396107072496,0.8432933364949118,25.11034318134917,34.43820257646312,0.7140096424701712
128,16.12452242304172,25.15328214449967,0.8431228494254193,25.142247759169788,34.441351124692126,0.7139573478436447
129,16.133864831344496,25.21473921725012,0.8423553162849575,25.165807422675215,34.49667020431255,0.7130377347425011
130,15.967997381252937,25.079093936467316,0.8440468857165031,25.121813093800498,34.432001285571296,0.7141126304128045
131,16.155358744155336,25.211645787020974,0.8423939943373517,25.180770951684213,34.52808393295531,0.7125148653527988
